;МНА №1. Аварийные утечки дизтоплива через торцевое уплотнение. Принята команда "Установить режим "Маскирование"; Зеленый 
;МНА №1. Электрическая защита. Значение сработки параметра. Уставка изменена; ;цвет 4; 
;МНА №1. Отключение от АЧР. Принята команда "Установить режим "Маскирование"; Зеленый 
;МНА №1. Отключение от АЧР. Принята команда "Снять режим "Маскирование"; Зеленый 
;МНА №1. Отключение от АЧР. Принята команда "Установить режим "Имитация логического "0"; Зеленый 
;МНА №1. Отключение от АЧР. Принята команда "Снять режим "Имитация логического "0"; Зеленый 
;МНА №1. Отключение от АЧР. Принята команда "Установить режим "Имитация логического "1"; Зеленый 
;МНА №1. Отключение от АЧР. Принята команда "Снять режим "Имитация логического "1"; Зеленый 
;МНА №1. Отключение от АЧР. Принята команда "Установить значение 1 на канале - Одномоментная команда"; Зеленый 
;МНА №1. Отключение от АЧР. Установлено значение 1 на канале - Одномоментная команда; Зеленый 
;МНА №1. Отключение от АЧР. Установлен режим "Маскирование"; Зеленый 
;МНА №1. Отключение от АЧР. Снят режим "Маскирование"; Зеленый 
;МНА №1. Отключение от АЧР. Установлен режим "Имитация логического "0"; Зеленый 
;МНА №1. Отключение от АЧР. Снят режим "Имитация логического "0"; Зеленый 
;МНА №1. Отключение от АЧР. Установлен режим "Имитация логической "1"; Зеленый 
;МНА №1. Отключение от АЧР. Снят режим "Имитация логической "1"; Зеленый 
;МНА №1. Отключение от АЧР. Сигнал недостоверен; Красный nsp.wav
;МНА №1. Отключение от АЧР. Сигнал достоверен; Зеленый 
;МНА №1. Отключение от АЧР. Обрыв. Сигнал установлен; Красный nsp.wav
;МНА №1. Отключение от АЧР. Обрыв. Сигнал снят; Зеленый 
;МНА №1. Отключение от АЧР. Короткое замыкание. Сигнал установлен; Красный nsp.wav
;МНА №1. Отключение от АЧР. Короткое замыкание. Сигнал снят; Зеленый 
;МНА №1. Отключение от АЧР. Сигнал недостоверен (аппаратная ошибка); Красный nsp.wav
;МНА №1. Отключение от АЧР. Сигнал установлен; Красный param_alarm.wav
;МНА №1. Отключение от АЧР. Сигнал снят; Зеленый 
;МНА №1. Отключение от АЧР. Сигнал достоверен; Зеленый 
;МНА №1. Отключение от АЧР. Сигнал достоверен режим Имитации; Зеленый 
;МНА №1. Отключение от АЧР. Значение сработки параметра. Уставка изменена; ;цвет 4; 
;МНА №1. Неисправность цепей управления ВВ контроллером РЗиА. Принята команда "Установить режим "Маскирование"; Зеленый 
;МНА №1. Неисправность цепей управления ВВ контроллером РЗиА. Принята команда "Снять режим "Маскирование"; Зеленый 
;МНА №1. Неисправность цепей управления ВВ контроллером РЗиА. Принята команда "Установить режим "Имитация логического "0"; Зеленый 
;МНА №1. Неисправность цепей управления ВВ контроллером РЗиА. Принята команда "Снять режим "Имитация логического "0"; Зеленый 
;МНА №1. Неисправность цепей управления ВВ контроллером РЗиА. Принята команда "Установить режим "Имитация логического "1"; Зеленый 
;МНА №1. Неисправность цепей управления ВВ контроллером РЗиА. Принята команда "Снять режим "Имитация логического "1"; Зеленый 
;МНА №1. Неисправность цепей управления ВВ контроллером РЗиА. Принята команда "Установить значение 1 на канале - Одномоментная команда"; Зеленый 
;МНА №1. Неисправность цепей управления ВВ контроллером РЗиА. Установлено значение 1 на канале - Одномоментная команда; Зеленый 
;МНА №1. Неисправность цепей управления ВВ контроллером РЗиА. Установлен режим "Маскирование"; Зеленый 
;МНА №1. Неисправность цепей управления ВВ контроллером РЗиА. Снят режим "Маскирование"; Зеленый 
;МНА №1. Неисправность цепей управления ВВ контроллером РЗиА. Установлен режим "Имитация логического "0"; Зеленый 
;МНА №1. Неисправность цепей управления ВВ контроллером РЗиА. Снят режим "Имитация логического "0"; Зеленый 
;МНА №1. Неисправность цепей управления ВВ контроллером РЗиА. Установлен режим "Имитация логической "1"; Зеленый 
;МНА №1. Неисправность цепей управления ВВ контроллером РЗиА. Снят режим "Имитация логической "1"; Зеленый 
;МНА №1. Неисправность цепей управления ВВ контроллером РЗиА. Сигнал недостоверен; Красный nsp.wav
;МНА №1. Неисправность цепей управления ВВ контроллером РЗиА. Сигнал достоверен; Зеленый 
;МНА №1. Неисправность цепей управления ВВ контроллером РЗиА. Обрыв. Сигнал установлен; Красный nsp.wav
;МНА №1. Неисправность цепей управления ВВ контроллером РЗиА. Обрыв. Сигнал снят; Зеленый 
;МНА №1. Неисправность цепей управления ВВ контроллером РЗиА. Короткое замыкание. Сигнал установлен; Красный nsp.wav
;МНА №1. Неисправность цепей управления ВВ контроллером РЗиА. Короткое замыкание. Сигнал снят; Зеленый 
;МНА №1. Неисправность цепей управления ВВ контроллером РЗиА. Сигнал недостоверен (аппаратная ошибка); Красный nsp.wav
;МНА №1. Неисправность цепей управления ВВ контроллером РЗиА. Сигнал установлен; Красный param_alarm.wav
;МНА №1. Неисправность цепей управления ВВ контроллером РЗиА. Сигнал снят; Зеленый 
;МНА №1. Неисправность цепей управления ВВ контроллером РЗиА. Сигнал достоверен; Зеленый 
;МНА №1. Неисправность цепей управления ВВ контроллером РЗиА. Сигнал достоверен режим Имитации; Зеленый 
;МНА №1. Неисправность цепей управления ВВ контроллером РЗиА. Значение сработки параметра. Уставка изменена; ;цвет 4; 
;МНА №1. Тележка выкачена. Принята команда "Установить режим "Маскирование"; Зеленый 
;МНА №1. Тележка выкачена. Принята команда "Снять режим "Маскирование"; Зеленый 
;МНА №1. Тележка выкачена. Принята команда "Установить режим "Имитация логического "0"; Зеленый 
;МНА №1. Тележка выкачена. Принята команда "Снять режим "Имитация логического "0"; Зеленый 
;МНА №1. Тележка выкачена. Принята команда "Установить режим "Имитация логического "1"; Зеленый 
;МНА №1. Тележка выкачена. Принята команда "Снять режим "Имитация логического "1"; Зеленый 
;МНА №1. Тележка выкачена. Принята команда "Установить значение 1 на канале - Одномоментная команда"; Зеленый 
;МНА №1. Тележка выкачена. Установлено значение 1 на канале - Одномоментная команда; Зеленый 
;МНА №1. Тележка выкачена. Установлен режим "Маскирование"; Зеленый 
;МНА №1. Тележка выкачена. Снят режим "Маскирование"; Зеленый 
;МНА №1. Тележка выкачена. Установлен режим "Имитация логического "0"; Зеленый 
;МНА №1. Тележка выкачена. Снят режим "Имитация логического "0"; Зеленый 
;МНА №1. Тележка выкачена. Установлен режим "Имитация логической "1"; Зеленый 
;МНА №1. Тележка выкачена. Снят режим "Имитация логической "1"; Зеленый 
;МНА №1. Тележка выкачена. Сигнал недостоверен; Красный nsp.wav
;МНА №1. Тележка выкачена. Сигнал достоверен; Зеленый 
;МНА №1. Тележка выкачена. Обрыв. Сигнал установлен; Красный nsp.wav
;МНА №1. Тележка выкачена. Обрыв. Сигнал снят; Зеленый 
;МНА №1. Тележка выкачена. Короткое замыкание. Сигнал установлен; Красный nsp.wav
;МНА №1. Тележка выкачена. Короткое замыкание. Сигнал снят; Зеленый 
;МНА №1. Тележка выкачена. Сигнал недостоверен (аппаратная ошибка); Красный nsp.wav
;МНА №1. Тележка выкачена. Сигнал установлен; Желтый param_limit.wav
;МНА №1. Тележка выкачена. Сигнал снят; Зеленый 
;МНА №1. Тележка выкачена. Сигнал достоверен; Зеленый 
;МНА №1. Тележка выкачена. Сигнал достоверен режим Имитации; Зеленый 
;МНА №1. Тележка выкачена. Значение сработки параметра. Уставка изменена; ;цвет 4; 
;МНА №1. Отключен от САОН. Принята команда "Установить режим "Маскирование"; Зеленый 
;МНА №1. Отключен от САОН. Принята команда "Снять режим "Маскирование"; Зеленый 
;МНА №1. Отключен от САОН. Принята команда "Установить режим "Имитация логического "0"; Зеленый 
;МНА №1. Отключен от САОН. Принята команда "Снять режим "Имитация логического "0"; Зеленый 
;МНА №1. Отключен от САОН. Принята команда "Установить режим "Имитация логического "1"; Зеленый 
;МНА №1. Отключен от САОН. Принята команда "Снять режим "Имитация логического "1"; Зеленый 
;МНА №1. Отключен от САОН. Принята команда "Установить значение 1 на канале - Одномоментная команда"; Зеленый 
;МНА №1. Отключен от САОН. Установлено значение 1 на канале - Одномоментная команда; Зеленый 
;МНА №1. Отключен от САОН. Установлен режим "Маскирование"; Зеленый 
;МНА №1. Отключен от САОН. Снят режим "Маскирование"; Зеленый 
;МНА №1. Отключен от САОН. Установлен режим "Имитация логического "0"; Зеленый 
;МНА №1. Отключен от САОН. Снят режим "Имитация логического "0"; Зеленый 
;МНА №1. Отключен от САОН. Установлен режим "Имитация логической "1"; Зеленый 
;МНА №1. Отключен от САОН. Снят режим "Имитация логической "1"; Зеленый 
;МНА №1. Отключен от САОН. Сигнал недостоверен; Красный nsp.wav
;МНА №1. Отключен от САОН. Сигнал достоверен; Зеленый 
;МНА №1. Отключен от САОН. Обрыв. Сигнал установлен; Красный nsp.wav
;МНА №1. Отключен от САОН. Обрыв. Сигнал снят; Зеленый 
;МНА №1. Отключен от САОН. Короткое замыкание. Сигнал установлен; Красный nsp.wav
;МНА №1. Отключен от САОН. Короткое замыкание. Сигнал снят; Зеленый 
;МНА №1. Отключен от САОН. Сигнал недостоверен (аппаратная ошибка); Красный nsp.wav
;МНА №1. Отключен от САОН. Сигнал установлен; Желтый param_limit.wav
;МНА №1. Отключен от САОН. Сигнал снят; Зеленый 
;МНА №1. Отключен от САОН. Сигнал достоверен; Зеленый 
;МНА №1. Отключен от САОН. Сигнал достоверен режим Имитации; Зеленый 
;МНА №1. Отключен от САОН. Значение сработки параметра. Уставка изменена; ;цвет 4; 
;МНА №1. Контроллер РЗиА двигательной ячейки в режиме ДУ. Принята команда "Установить режим "Маскирование"; Зеленый 
;МНА №1. Контроллер РЗиА двигательной ячейки в режиме ДУ. Принята команда "Снять режим "Маскирование"; Зеленый 
;МНА №1. Контроллер РЗиА двигательной ячейки в режиме ДУ. Принята команда "Установить режим "Имитация логического "0"; Зеленый 
;МНА №1. Контроллер РЗиА двигательной ячейки в режиме ДУ. Принята команда "Снять режим "Имитация логического "0"; Зеленый 
;МНА №1. Контроллер РЗиА двигательной ячейки в режиме ДУ. Принята команда "Установить режим "Имитация логического "1"; Зеленый 
;МНА №1. Контроллер РЗиА двигательной ячейки в режиме ДУ. Принята команда "Снять режим "Имитация логического "1"; Зеленый 
;МНА №1. Контроллер РЗиА двигательной ячейки в режиме ДУ. Принята команда "Установить значение 1 на канале - Одномоментная команда"; Зеленый 
;МНА №1. Контроллер РЗиА двигательной ячейки в режиме ДУ. Установлено значение 1 на канале - Одномоментная команда; Зеленый 
;МНА №1. Контроллер РЗиА двигательной ячейки в режиме ДУ. Установлен режим "Маскирование"; Зеленый 
;МНА №1. Контроллер РЗиА двигательной ячейки в режиме ДУ. Снят режим "Маскирование"; Зеленый 
;МНА №1. Контроллер РЗиА двигательной ячейки в режиме ДУ. Установлен режим "Имитация логического "0"; Зеленый 
;МНА №1. Контроллер РЗиА двигательной ячейки в режиме ДУ. Снят режим "Имитация логического "0"; Зеленый 
;МНА №1. Контроллер РЗиА двигательной ячейки в режиме ДУ. Установлен режим "Имитация логической "1"; Зеленый 
;МНА №1. Контроллер РЗиА двигательной ячейки в режиме ДУ. Снят режим "Имитация логической "1"; Зеленый 
;МНА №1. Контроллер РЗиА двигательной ячейки в режиме ДУ. Сигнал недостоверен; Красный nsp.wav
;МНА №1. Контроллер РЗиА двигательной ячейки в режиме ДУ. Сигнал достоверен; Зеленый 
;МНА №1. Контроллер РЗиА двигательной ячейки в режиме ДУ. Обрыв. Сигнал установлен; Красный nsp.wav
;МНА №1. Контроллер РЗиА двигательной ячейки в режиме ДУ. Обрыв. Сигнал снят; Зеленый 
;МНА №1. Контроллер РЗиА двигательной ячейки в режиме ДУ. Короткое замыкание. Сигнал установлен; Красный nsp.wav
;МНА №1. Контроллер РЗиА двигательной ячейки в режиме ДУ. Короткое замыкание. Сигнал снят; Зеленый 
;МНА №1. Контроллер РЗиА двигательной ячейки в режиме ДУ. Сигнал недостоверен (аппаратная ошибка); Красный nsp.wav
;МНА №1. Контроллер РЗиА двигательной ячейки в режиме ДУ. Сигнал установлен; Зеленый 
;МНА №1. Контроллер РЗиА двигательной ячейки в режиме ДУ. Сигнал снят; Зеленый 
;МНА №1. Контроллер РЗиА двигательной ячейки в режиме ДУ. Сигнал достоверен; Зеленый 
;МНА №1. Контроллер РЗиА двигательной ячейки в режиме ДУ. Сигнал достоверен режим Имитации; Зеленый 
;МНА №1. Контроллер РЗиА двигательной ячейки в режиме ДУ. Значение сработки параметра. Уставка изменена; ;цвет 4; 
;МНА №1. Наличие напряжения в цепях оперативного тока. Принята команда "Установить режим "Маскирование"; Зеленый 
;МНА №1. Наличие напряжения в цепях оперативного тока. Принята команда "Снять режим "Маскирование"; Зеленый 
;МНА №1. Наличие напряжения в цепях оперативного тока. Принята команда "Установить режим "Имитация логического "0"; Зеленый 
;МНА №1. Наличие напряжения в цепях оперативного тока. Принята команда "Снять режим "Имитация логического "0"; Зеленый 
;МНА №1. Наличие напряжения в цепях оперативного тока. Принята команда "Установить режим "Имитация логического "1"; Зеленый 
;МНА №1. Наличие напряжения в цепях оперативного тока. Принята команда "Снять режим "Имитация логического "1"; Зеленый 
;МНА №1. Наличие напряжения в цепях оперативного тока. Принята команда "Установить значение 1 на канале - Одномоментная команда"; Зеленый 
;МНА №1. Наличие напряжения в цепях оперативного тока. Установлено значение 1 на канале - Одномоментная команда; Зеленый 
;МНА №1. Наличие напряжения в цепях оперативного тока. Установлен режим "Маскирование"; Зеленый 
;МНА №1. Наличие напряжения в цепях оперативного тока. Снят режим "Маскирование"; Зеленый 
;МНА №1. Наличие напряжения в цепях оперативного тока. Установлен режим "Имитация логического "0"; Зеленый 
;МНА №1. Наличие напряжения в цепях оперативного тока. Снят режим "Имитация логического "0"; Зеленый 
;МНА №1. Наличие напряжения в цепях оперативного тока. Установлен режим "Имитация логической "1"; Зеленый 
;МНА №1. Наличие напряжения в цепях оперативного тока. Снят режим "Имитация логической "1"; Зеленый 
;МНА №1. Наличие напряжения в цепях оперативного тока. Сигнал недостоверен; Красный nsp.wav
;МНА №1. Наличие напряжения в цепях оперативного тока. Сигнал достоверен; Зеленый 
;МНА №1. Наличие напряжения в цепях оперативного тока. Обрыв. Сигнал установлен; Красный nsp.wav
;МНА №1. Наличие напряжения в цепях оперативного тока. Обрыв. Сигнал снят; Зеленый 
;МНА №1. Наличие напряжения в цепях оперативного тока. Короткое замыкание. Сигнал установлен; Красный nsp.wav
;МНА №1. Наличие напряжения в цепях оперативного тока. Короткое замыкание. Сигнал снят; Зеленый 
;МНА №1. Наличие напряжения в цепях оперативного тока. Сигнал недостоверен (аппаратная ошибка); Красный nsp.wav
;МНА №1. Наличие напряжения в цепях оперативного тока. Сигнал установлен; Зеленый 
;МНА №1. Наличие напряжения в цепях оперативного тока. Сигнал снят; Красный 
;МНА №1. Наличие напряжения в цепях оперативного тока. Сигнал достоверен; Зеленый 
;МНА №1. Наличие напряжения в цепях оперативного тока. Сигнал достоверен режим Имитации; Зеленый 
;МНА №1. Наличие напряжения в цепях оперативного тока. Значение сработки параметра. Уставка изменена; ;цвет 4; 
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №1. Принята команда "Установить режим "Маскирование"; Зеленый 
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №1. Принята команда "Снять режим "Маскирование"; Зеленый 
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №1. Принята команда "Установить режим "Имитация логического "0"; Зеленый 
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №1. Принята команда "Снять режим "Имитация логического "0"; Зеленый 
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №1. Принята команда "Установить режим "Имитация логического "1"; Зеленый 
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №1. Принята команда "Снять режим "Имитация логического "1"; Зеленый 
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №1. Принята команда "Установить значение 1 на канале - Одномоментная команда"; Зеленый 
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №1. Установлено значение 1 на канале - Одномоментная команда; Зеленый 
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №1. Установлен режим "Маскирование"; Зеленый 
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №1. Снят режим "Маскирование"; Зеленый 
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №1. Установлен режим "Имитация логического "0"; Зеленый 
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №1. Снят режим "Имитация логического "0"; Зеленый 
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №1. Установлен режим "Имитация логической "1"; Зеленый 
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №1. Снят режим "Имитация логической "1"; Зеленый 
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №1. Сигнал недостоверен; Красный nsp.wav
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №1. Сигнал достоверен; Зеленый 
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №1. Обрыв. Сигнал установлен; Красный nsp.wav
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №1. Обрыв. Сигнал снят; Зеленый 
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №1. Короткое замыкание. Сигнал установлен; Красный nsp.wav
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №1. Короткое замыкание. Сигнал снят; Зеленый 
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №1. Сигнал недостоверен (аппаратная ошибка); Красный nsp.wav
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №1. Сигнал установлен; Красный param_alarm.wav
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №1. Сигнал снят; Зеленый 
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №1. Сигнал достоверен; Зеленый 
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №1. Сигнал достоверен режим Имитации; Зеленый 
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №1. Значение сработки параметра. Уставка изменена; ;цвет 4; 
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №2. Принята команда "Установить режим "Маскирование"; Зеленый 
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №2. Принята команда "Снять режим "Маскирование"; Зеленый 
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №2. Принята команда "Установить режим "Имитация логического "0"; Зеленый 
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №2. Принята команда "Снять режим "Имитация логического "0"; Зеленый 
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №2. Принята команда "Установить режим "Имитация логического "1"; Зеленый 
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №2. Принята команда "Снять режим "Имитация логического "1"; Зеленый 
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №2. Принята команда "Установить значение 1 на канале - Одномоментная команда"; Зеленый 
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №2. Установлено значение 1 на канале - Одномоментная команда; Зеленый 
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №2. Установлен режим "Маскирование"; Зеленый 
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №2. Снят режим "Маскирование"; Зеленый 
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №2. Установлен режим "Имитация логического "0"; Зеленый 
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №2. Снят режим "Имитация логического "0"; Зеленый 
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №2. Установлен режим "Имитация логической "1"; Зеленый 
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №2. Снят режим "Имитация логической "1"; Зеленый 
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №2. Сигнал недостоверен; Красный nsp.wav
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №2. Сигнал достоверен; Зеленый 
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №2. Обрыв. Сигнал установлен; Красный nsp.wav
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №2. Обрыв. Сигнал снят; Зеленый 
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №2. Короткое замыкание. Сигнал установлен; Красный nsp.wav
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №2. Короткое замыкание. Сигнал снят; Зеленый 
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №2. Сигнал недостоверен (аппаратная ошибка); Красный nsp.wav
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №2. Сигнал установлен; Красный param_alarm.wav
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №2. Сигнал снят; Зеленый 
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №2. Сигнал достоверен; Зеленый 
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №2. Сигнал достоверен режим Имитации; Зеленый 
;МНА №1. Аварийное отключение кнопкой "Стоп" по месту №2. Значение сработки параметра. Уставка изменена; ;цвет 4; 
;МНА №1. Аварийное отключение кнопкой "Стоп" с БРУ. Принята команда "Установить режим "Маскирование"; Зеленый 
;МНА №1. Аварийное отключение кнопкой "Стоп" с БРУ. Принята команда "Снять режим "Маскирование"; Зеленый 
;МНА №1. Аварийное отключение кнопкой "Стоп" с БРУ. Принята команда "Установить режим "Имитация логического "0"; Зеленый 
